Subject,Section,Sub-subject,Correct sentence,Wrong sentence,Label,URL
Het woord,2.2.4,Wederkerende (reflexieve) en niet-wederkerende (niet-reflexieve) werkwoorden,Ik zag mezelf op de televisie.,Hij stelde zich aan als directeur.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020204lingtopic
Het woord,2.2.5,Persoonlijke en onpersoonlijke werkwoorden,Het ijzelt.,Zij ijzelt.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020205lingtopic
Het woord,2.2.5,Persoonlijke en onpersoonlijke werkwoorden,Het ijzelt.,Dat ijzelt.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020205lingtopic
Het woord,2.2.5,Persoonlijke en onpersoonlijke werkwoorden,Het ijzelt.,Het weer ijzelt.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020205lingtopic
Het woord,2.3.2.1,Algemeen,Ondergetekende is het hier niet mee eens.,Ondergetekende ben het hier niet mee eens. uitgesloten,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans02030201lingtopic
Het woord,2.3.2.1,Algemeen,Onze kleine meid wil zeker wel een lekker koekje?,Onze kleine meid wilt zeker wel een lekker koekje?,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans02030201lingtopic
Het woord,2.3.2.8.iv.e,Het gebruik van hebben en zijn bij groepen van werkwoorden,Ik heb vruchteloos proberen te ontkomen.,Ik ben vruchteloos proberen te ontkomen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020302080405lingtopic
Het woord,2.3.2.8.iv.e,Het gebruik van hebben en zijn bij groepen van werkwoorden,Ze hadden de optocht jammer genoeg niet goed kunnen zien voorbijkomen.,Ze waren de optocht jammer genoeg niet goed kunnen zien voorbijkomen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020302080405lingtopic
Het woord,2.3.2.8.iv.e,Het gebruik van hebben en zijn bij groepen van werkwoorden,"Ik heb altijd op bezoek willen blijven komen, maar ik mocht niet van jou.","Ik ben altijd op bezoek willen blijven komen, maar ik mocht niet van jou.",twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans020302080405lingtopic
Het woord,2.4.6,Het voltooid deelwoord,Ik heb je toch gezegd dat mijn moeder al jaren dood is.,Ik heb je toch gezegd dat mijn moeder al jaren is dood.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020406lingtopic
Het woord,2.4.6,Het voltooid deelwoord,Ik heb je toch gezegd dat mijn moeder al jaren overleden is.,Ik heb je toch gezegd dat mijn moeder al jaren is overleden.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans020406lingtopic
Het woord,2.4.8.4.ii,De werking ligt vóór referentiepunt en spreekmoment,Vorig jaar fietste opa nog.,Gisteren heeft zij nog op krukken gelopen.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans0204080402lingtopic
Het woord,2.4.8.4.ii,De werking ligt vóór referentiepunt en spreekmoment,Ik heb vorige week rijexamen gedaan: ik ben helaas gezakt.,Ik heb vorige week rijexamen gedaan: ik zakte helaas.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans0204080402lingtopic
Het woord,2.4.8.4.ii,De werking ligt vóór referentiepunt en spreekmoment,NA,Ik ben opgehouden met de rijlessen: ik ben voortdurend gezakt voor het examen.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans0204080402lingtopic
Het woord,2.4.8.4.ii,De werking ligt vóór referentiepunt en spreekmoment,Ik ben zes keer gezakt voor het examen.,Ik zakte zes keer voor het examen.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans0204080402lingtopic
Het woord,2.4.8.4.ii,De werking ligt vóór referentiepunt en spreekmoment,Hij sliep al.,"Toen ik in New York gewoond heb, is het verkeer nog lang zo druk niet geweest.",uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans0204080402lingtopic
Het woord,2.4.8.4.ii,De werking ligt vóór referentiepunt en spreekmoment,"Toen ik in New York woonde, was het verkeer nog lang zo druk niet.",Waar ben je geweest toen ik je opgebeld heb?,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans0204080402lingtopic
Het woord,2.4.8.4.ii,De werking ligt vóór referentiepunt en spreekmoment,U zegt dat u veel ervaring hebt. Bij welke firma's hebt u gewerkt?,U zegt dat u veel ervaring hebt. Bij welke firma's werkte u?,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans0204080402lingtopic
Het woord,2.4.8.4.ii,De werking ligt vóór referentiepunt en spreekmoment,NA,U zei dat op dat moment verkoper was. Bij welke firma hebt u gewerkt?,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans0204080402lingtopic
Het woord,2.4.8.4.ii,De werking ligt vóór referentiepunt en spreekmoment,Het heeft vannacht geregend: de straat is nat.,Het regende vannacht: de straat is nat.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans0204080402lingtopic
Het woord,2.4.8.4.ii,De werking ligt vóór referentiepunt en spreekmoment,Besmettingsgevaar is er gelukkig niet: al zijn broers hebben de pokken gehad.,Besmettingsgevaar is er gelukkig niet: al zijn broers hadden de pokken.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans0204080402lingtopic
Het woord,2.4.8.4.iii,"Werking, referentiepunt en spreekmoment vallen (gedeeltelijk) samen",Hans werkt zijn hele leven al bij dezelfde baas.,Hans werkt zijn hele leven bij dezelfde baas.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans0204080403lingtopic
Het woord,2.4.8.4.iii,"Werking, referentiepunt en spreekmoment vallen (gedeeltelijk) samen",Ik ben de hele tijd al hier in de kamer en ik heb niets gehoord.,Ik ben de hele tijd hier in de kamer en ik heb niets gehoord.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans0204080403lingtopic
Het woord,2.4.8.11,Het gebruik van de werkwoordstijden in indirecte en semi-directe rede,Een uur geleden constateerde ze pas dat Koos vandaag met verlof was.,Een uur geleden heeft ze geconstateerd dat Koos er op dat moment niet is.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans02040811lingtopic
Het woord,2.4.8.11,Het gebruik van de werkwoordstijden in indirecte en semi-directe rede,Ik dacht dat je ziek was.,Ik dacht dat je ziek bent.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans02040811lingtopic
Het woord,2.4.8.11,Het gebruik van de werkwoordstijden in indirecte en semi-directe rede,Kom je niet? En je zei dat je kwam!,Kom je niet? En je zei dat je komt!,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans02040811lingtopic
Het woord,2.4.8.11,Het gebruik van de werkwoordstijden in indirecte en semi-directe rede,Krijgen we niks? En je had beloofd dat je honderd gulden zou geven.,Krijgen we niks? En je had beloofd dat je honderd gulden zult geven.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans02040811lingtopic
Het woord,3.2.2,Morfologische en syntactische indelingen,Er lag veel zand in de kamer.,Er lagen zanden in de kamer.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans030202lingtopic
Het woord,3.2.2,Morfologische en syntactische indelingen,Er lag veel zand in de kamer.,Er lag één zand in de kamer.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans030202lingtopic
Het woord,3.2.2,Morfologische en syntactische indelingen,Er lag veel zand in de kamer.,Er lag een zand in de kamer.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans030202lingtopic
Het woord,4.5.3,Na voorzetsels,Ik ga altijd per trein.,Ik ga altijd per trein van 8.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans040503lingtopic
Het woord,4.5.3,Na voorzetsels,Zonder auto zou ik me niet kunnen redden.,Zonder auto van mijn vrouw zou ik me niet kunnen redden.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans040503lingtopic
Het woord,4.5.3,Na voorzetsels,De operatie is volgens plan verlopen.,De operatie is volgens slim bedacht plan verlopen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans040503lingtopic
Het woord,4.5.3,Na voorzetsels,NA,Bij ongeval gelieve te waarschuwen: (.,formeel,https://e-ans.ivdnt.org/topics/pid/ans040503lingtopic
Het woord,4.5.3,Na voorzetsels,NA,Bij een ongeval gelieve te waarschuwen: (.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans040503lingtopic
Het woord,4.5.3,Na voorzetsels,NA,Bij ongeval moet je meteen de politie waarschuwen.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans040503lingtopic
Het woord,4.5.3,Na voorzetsels,Hij gaat nooit weg zonder wandelstok.,Hij gaat nooit weg zonder een wandelstok.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans040503lingtopic
Het woord,4.5.3,Na voorzetsels,Zonder bril ziet hij bijna niets.,Zonder een bril ziet hij bijna niets.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans040503lingtopic
Het woord,4.5.6,Bij substantieven als naamwoordelijk deel van het gezegde,Hij is advocaat van beroep.,Hij/het is een advocaat van beroep.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans040506lingtopic
Het woord,4.5.6,Bij substantieven als naamwoordelijk deel van het gezegde,Hij is Belg van nationaliteit.,Hij/het is een Belg van nationaliteit.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans040506lingtopic
Het woord,4.5.6,Bij substantieven als naamwoordelijk deel van het gezegde,Hij is christen van religie.,Hij/het is een christen van religie.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans040506lingtopic
Het woord,4.5.6,Bij substantieven als naamwoordelijk deel van het gezegde,Opticien is een mooi beroep.,Een opticien is een mooi beroep.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans040506lingtopic
Het woord,4.5.6,Bij substantieven als naamwoordelijk deel van het gezegde,Hij is een artiest.,Hij is me ook advocaat.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans040506lingtopic
Het woord,4.5.6,Bij substantieven als naamwoordelijk deel van het gezegde,Ze zijn allebei arts van beroep.,Ze zijn allebei artsen van beroep.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans040506lingtopic
Het woord,4.5.6,Bij substantieven als naamwoordelijk deel van het gezegde,NA,Ze zijn allebei arts die een drukke praktijk heeft.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans040506lingtopic
Het woord,4.5.6,Bij substantieven als naamwoordelijk deel van het gezegde,Ze zijn allebei artsen die een drukke praktijk hebben.,Deze kamer is uitstekende opslagplaats.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans040506lingtopic
Het woord,4.5.7,Bij substantieven als bepaling van gesteldheid,Jan en Marcel zijn zo slim als vossen.,Hij spreekt als echte advocaat.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans040507lingtopic
Het woord,4.5.7,Bij substantieven als bepaling van gesteldheid,Hij wordt erkend als vorst.,Hij wordt erkend als een vorst.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans040507lingtopic
Het woord,4.6.5.1,Bepaalde tijdsaanduiding,Hij werkt het liefst in de nacht.,Hij is gestorven 's nachts van zondag op maandag.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans04060501lingtopic
Het woord,4.6.5.1,Bepaalde tijdsaanduiding,In de winter zie je hier weinig mensen.,'s Winters dat jaar zijn we getrouwd.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans04060501lingtopic
Het woord,5.2.5.2.1,"Verwijzing naar personen en niet-personen met mannelijke, respectievelijk vrouwelijke vormen",(Waar is die pan?) Heb je ze ergens gezien?,(Waar is die pan?,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans0502050201lingtopic
Het woord,5.2.5.2.2,Gebruik van het,Het schijnt dat er vanavond een vergadering is.,Dat schijnt dat er vanavond een vergadering is.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans0502050202lingtopic
Het woord,5.2.5.2.2,Gebruik van het,Ze vond het erg aardig van hem dat hij eerst een briefje gestuurd had.,Ze vond dat erg aardig van hem dat hij eerst een briefje gestuurd had.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans0502050202lingtopic
Het woord,5.2.6,Onderwerps- en niet-onderwerpsvormen,"(B) Ja, hij is een vermakelijke man.",Het bestuur heeft niet geantwoord op de vragen die men het had voorgelegd.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans050206lingtopic
Het woord,5.2.6,Onderwerps- en niet-onderwerpsvormen,"(B) Ja, hij is een vermakelijke man.",Het bestuur heeft niet geantwoord op de vragen die het waren voorgelegd.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans050206lingtopic
Het woord,5.2.7,Volle en gereduceerde vormen,Hij gelooft er niets van.,Ie gelooft er niets van.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans050207lingtopic
Het woord,5.2.7,Volle en gereduceerde vormen,(Over boeken: ) Ze staan hier al een hele tijd.,(Over boeken: ) Zij staan hier al een hele tijd.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans050207lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",NA,Men heeft mij vanmorgen verteld dat de regering gevallen is.,formeel,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",Er is deze winter niet veel hooi gevreten.,Men heeft deze winter niet veel hooi gevreten.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",Er wordt geklopt.,Men klopt.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",Er wordt gebeld.,Men belt.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",NA,Men heeft beweerd dat je ziek bent.,formeel,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",NA,Er heeft men beweerd dat je ziek bent.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we","Mensen die zoiets hebben meegemaakt, zijn er niet veel.","Men die zoiets heeft meegemaakt, zijn er niet veel.",uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",Ze praten er al over in de stad.,Men praat er al over in de stad.,formeel,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",Ze praten er al over in de stad.,Je /ge praat er al over in de stad.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",Ze praten er al over in de stad.,We praten er al over in de stad.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",Hebben ze dat gebouw nu toch gerestaureerd?,Heeft men dat gebouw nu toch gerestaureerd?,formeel,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",Hebben ze dat gebouw nu toch gerestaureerd?,Heb je/hebt ge dat gebouw nu toch gerestaureerd?,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",Hebben ze dat gebouw nu toch gerestaureerd?,Hebben we dat gebouw nu toch gerestaureerd?,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",Je weet nooit wat er kan gebeuren.,Ge weet nooit wat er kan gebeuren.,regionaal,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",We weten nooit wat er kan gebeuren.,Men weet nooit wat er kan gebeuren.,formeel,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",We weten nooit wat er kan gebeuren.,Ze weten nooit wat er kan gebeuren.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",In Amerika zie je de vreemdste dingen.,In Amerika ziet ge de vreemdste dingen.,regionaal,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",In Amerika zien we de vreemdste dingen.,In Amerika ziet men de vreemdste dingen.,formeel,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.2.9.2,"Het gebruik van men , ze , je , ge en we",In Amerika zien we de vreemdste dingen.,In Amerika zien ze de vreemdste dingen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans05020902lingtopic
Het woord,5.3.1,Inleiding,Jan vergist zich.,Jan vergist.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans050301lingtopic
Het woord,5.3.1,Inleiding,Jan vergist zich.,Jan vergist hem.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans050301lingtopic
Het woord,5.3.3.1,Persoon en getal,Jullie moeten je meer inspannen.,Ge moet u meer inspannen.,regionaal,https://e-ans.ivdnt.org/topics/pid/ans05030301lingtopic
Het woord,5.3.3.1,Persoon en getal,Vergis u niet!,Vergis zich niet!,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans05030301lingtopic
Het woord,5.3.3.1,Persoon en getal,"U is zich wel bewust van de gevaren, neem ik aan.","U is u wel bewust van de gevaren, neem ik aan.",twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans05030301lingtopic
Het woord,5.3.3.1,Persoon en getal,U heeft zich vergist.,U heeft u vergist.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans05030301lingtopic
Het woord,5.3.3.1,Persoon en getal,Ik denk dat u zich vergist.,Ik denk dat u u vergist.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans05030301lingtopic
Het woord,5.3.3.1,Persoon en getal,Ziet u zichzelf als toekomstig premier?,Ziet u uzelf als toekomstig premier?,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans05030301lingtopic
Het woord,5.3.3.2.iii,Het wederkerend voornaamwoord in voorzetselconstituenten,Ze liet de storm rustig over zich heengaan.,Ze liet de storm rustig over haar heengaan.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans0503030203lingtopic
Het woord,5.3.3.2.iii,Het wederkerend voornaamwoord in voorzetselconstituenten,Hij voelde de bekoring van zich wijken.,Hij voelde de bekoring van hem wijken.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans0503030203lingtopic
Het woord,5.3.4.1,Inleiding,Hij maakte zich uit de voeten.,Hij maakte zijn buurman uit de voeten.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans05030401lingtopic
Het woord,5.3.4.1,Inleiding,We maken ons zorgen over de crisis.,We maken onze collega' s zorgen over de crisis.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans05030401lingtopic
Het woord,5.3.4.2.i,In verplicht wederkerende verbindingen,Je vergist je.,Je vergist jezelf.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans0503040201lingtopic
Het woord,5.3.4.2.i,In verplicht wederkerende verbindingen,Daar hebben we ons juist veel moeite voor gegeven.,Daar hebben we onszelf juist veel moeite voor gegeven.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans0503040201lingtopic
Het woord,5.3.4.2.i,In verplicht wederkerende verbindingen,Ik heb me voorgenomen na 1 januari niet meer te roken.,Ik heb mezelf voorgenomen na 1 januari niet meer te roken.,informeel,https://e-ans.ivdnt.org/topics/pid/ans0503040201lingtopic
Het woord,5.3.4.2.i,In verplicht wederkerende verbindingen,Hij heeft zich in allerlei bochten gewrongen om niet mee te hoeven doen.,Hij heeft zichzelf in allerlei bochten gewrongen om niet mee te hoeven doen.,informeel,https://e-ans.ivdnt.org/topics/pid/ans0503040201lingtopic
Het woord,5.3.4.3.i,In verplicht wederkerende verbindingen,Heel langzaam kwam hij weer tot zichzelf.,Heel langzaam kwam hij weer tot zich.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans0503040301lingtopic
Het woord,5.3.4.3.i,In verplicht wederkerende verbindingen,Ze was buiten zichzelf van woede.,Ze was buiten zich van woede.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans0503040301lingtopic
Het woord,5.3.4.3.i,In verplicht wederkerende verbindingen,Hij was zichzelf niet meer.,Hij was zich niet meer.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans0503040301lingtopic
Het woord,5.5.6.2,Het gebruik,Morgen moeten jullie je woordenboeken meenemen.,Morgen moeten jullie jullie woordenboeken meenemen.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans05050602lingtopic
Het woord,5.5.6.2,Het gebruik,De hartelijke groeten aan jou en je vrouw.,De hartelijke groeten aan jou en jouw vrouw.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans05050602lingtopic
Het woord,5.5.7.2.ii,De relatie tot het antecedent,Ik ken dat boek en de grote verspreiding ervan.,(Herinner je je die opmerking?)Z'n/haar uitwerking was onmiskenbaar.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans0505070202lingtopic
Het woord,5.5.7.2.ii,De relatie tot het antecedent,(Herinner je je die opmerking?) De uitwerking ervan was onmiskenbaar.,We hadden het over het dragen van een bril en z'n charme.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans0505070202lingtopic
Het woord,5.5.7.2.ii,De relatie tot het antecedent,We hadden het over het dragen van een bril en de charme daarvan.,( Het probleem is erg ingewikkeld.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans0505070202lingtopic
Het woord,5.5.7.3.ii,Het type ' Jan z'n fiets ',Ik heb de fiets van Jan verkocht.,Ik heb Jan z'n fiets verkocht.,informeel,https://e-ans.ivdnt.org/topics/pid/ans0505070302lingtopic
Het woord,5.5.10,Bezittelijk voornaamwoord en possessief lidwoord,Die jongen loopt altijd met zijn handen in zijn zak.,Die jongen loopt altijd met de handen in de zak.,regionaal,https://e-ans.ivdnt.org/topics/pid/ans050510lingtopic
Het woord,5.5.10,Bezittelijk voornaamwoord en possessief lidwoord,Ze heeft 'r haar geverfd.,Ze heeft het haar geverfd.,regionaal,https://e-ans.ivdnt.org/topics/pid/ans050510lingtopic
Het woord,5.5.10,Bezittelijk voornaamwoord en possessief lidwoord,De hond kwispelde met zijn staart.,De hond kwispelde met de staart.,regionaal,https://e-ans.ivdnt.org/topics/pid/ans050510lingtopic
Het woord,5.5.10,Bezittelijk voornaamwoord en possessief lidwoord,"Het was zo glad, ik ben maar naast mijn fiets gaan lopen.","Het was zo glad, ik ben maar naast de fiets gaan lopen.",regionaal,https://e-ans.ivdnt.org/topics/pid/ans050510lingtopic
Het woord,5.5.10,Bezittelijk voornaamwoord en possessief lidwoord,Ze heeft 'r haar geverfd.,Ze heeft zich het haar geverfd.,regionaal,https://e-ans.ivdnt.org/topics/pid/ans050510lingtopic
Het woord,5.5.10,Bezittelijk voornaamwoord en possessief lidwoord,Hij heeft met het broodmes in zijn vingers gesneden.,Hij heeft zich met het broodmes in de vingers gesneden.,regionaal,https://e-ans.ivdnt.org/topics/pid/ans050510lingtopic
Het woord,5.5.10,Bezittelijk voornaamwoord en possessief lidwoord,De kapper heeft ' r haar geverfd.,De kapper heeft 'r het haar geverfd.,regionaal,https://e-ans.ivdnt.org/topics/pid/ans050510lingtopic
Het woord,5.5.10,Bezittelijk voornaamwoord en possessief lidwoord,Met die affaire heeft hij zich lelijk in de vingers gesneden.,Met die affaire heeft hij lelijk in z'n vingers gesneden.,twijfelachtig,https://e-ans.ivdnt.org/topics/pid/ans050510lingtopic
Het woord,5.5.10,Bezittelijk voornaamwoord en possessief lidwoord,De economische crisis heeft dat bedrijf de das omgedaan.,De economische crisis heeft dat bedrijf z'n das omgedaan.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans050510lingtopic
Het woord,5.6.3.1,Het gebruik in het algemeen,Dit boek is niets minder dan een meesterwerk.,Dat boek is niets minder dan een meesterwerk.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans05060301lingtopic
Het woord,5.6.3.3.1,Aanwijzend en persoonlijk voornaamwoord,De man leunde tegen de muur. Ik vertrouwde 'm niet erg.,De man leunde tegen de muur.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans0506030301lingtopic
Het woord,5.6.3.3.1,Aanwijzend en persoonlijk voornaamwoord,De stoel stond in de hoek. Ik vond 'm niet mooi.,De stoel stond in de hoek.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans0506030301lingtopic
Het woord,5.6.3.3.6,Verwijzingsmogelijkheden van dat (en dit ),Het schijnt dat er vanavond een vergadering is.,Dat schijnt dat er vanavond een vergadering is.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans0506030306lingtopic
