,ID,subject,phenomenon,sub_subject,Correct sentence,Wrong sentence,Label,URL,Generated
10,2,naamwoordelijke_constituent,6. Nominalizations,Nominalisaties behorend tot type 2,Het bakken van pannenkoeken (is voor Anneke niet moeilijk.),Het van pannenkoeken bakken (is voor Anneke niet moeilijk.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140803lingtopic,ANS
11,2,naamwoordelijke_constituent,6. Nominalizations,Nominalisaties behorend tot type 2,Het voor grootmoeder thee inschenken (is een hele opgave.),Het grootmoeder inschenken van thee (is een hele opgave.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140803lingtopic,ANS
12,1,naamwoordelijke_constituent,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",Bepaalde en onbepaalde naamwoordelijke constituenten,De Toren van Pisa helt over.,Er helt een Toren van Pisa over.,,,Chat-GPT
13,1,naamwoordelijke_constituent,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",Bepaalde en onbepaalde naamwoordelijke constituenten,De Taj Mahal staat in India.,Er staat een Taj Mahal in India.,,,Chat-GPT
14,1,naamwoordelijke_constituent,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",Bepaalde en onbepaalde naamwoordelijke constituenten,Het continent van Europa is klein.,Een continent van Europa is klein.,,,Manual
15,2,naamwoordelijke_constituent,6. Nominalizations,Nominalisaties behorend tot type 3,Mosselen eten (is in de mode.),Van mosselen eten (is in de mode.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140804lingtopic,ANS
16,2,naamwoordelijke_constituent,6. Nominalizations,Nominalisaties behorend tot type 3,Cognac aanbieden aan tante Fien (vindt pa doodzonde.),Cognac aanbieden tante Fien (vindt pa doodzonde.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140804lingtopic,ANS
17,2,naamwoordelijke_constituent,6. Nominalizations,Nominalisaties behorend tot type 3,Een nieuwe broek kopen voor Eric (is altijd leuk.),Een nieuwe broek kopen Eric (is altijd leuk.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140804lingtopic,ANS
18,3,advectivische_constituent,3. The Construction of the Adjective Phrase,De bouw van de adjectivische constituent,Een zeer hard gesteente.,Een zeer gesteente.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1502lingtopic,Manual/ANS
19,3,advectivische_constituent,3. The Construction of the Adjective Phrase,De bouw van de adjectivische constituent,Laura is heel getalenteerd.,Laura is heel.,,,Chat-GPT
20,3,advectivische_constituent,3. The Construction of the Adjective Phrase,De bouw van de adjectivische constituent,Hij is niet bepaald tuk op vergaderen.,Hij is niet bepaald tuk.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1502lingtopic,Manual/ANS
21,3,advectivische_constituent,3. The Construction of the Adjective Phrase,De bouw van de adjectivische constituent,De boom is erg hoog.,Erg is de boom hoog.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1502lingtopic,Manual/ANS
22,3,advectivische_constituent,3. The Construction of the Adjective Phrase,De bouw van de adjectivische constituent,Wim is nogal eigenwijs.,Wim is nogal.,,,Manual
23,3,advectivische_constituent,3. The Construction of the Adjective Phrase,De bouw van de adjectivische constituent,Nienke is zeer aantrekkelijk.,Nienke is zeer.,,,Manual
24,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,De koffie is warm genoeg.,Warm genoege koffie.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans15030101lingtopic,ANS
25,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Dat klusje is makkelijk zat.,Een makkelijk zat klusje.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans15030101lingtopic,Manual/ANS
26,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Ik vind het een heel handig apparaat,Ik vind het een hele handig apparaat.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans15030101lingtopic,Manual/ANS
27,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Die flats zijn geweldig hoog.,Die flats zijn geweldige hoog.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans15030101lingtopic,Manual/ANS
28,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Mijn vrienden zijn geweldig mooi.,Mijn vrienden zijn geweldige mooi.,,,Manual
29,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,De studenten zijn geweldig slim.,De studenten zijn geweldige slim.,,,Manual
30,3,advectivische_constituent,3. The Construction of the Adjective Phrase,De bouw van de adjectivische constituent,Hij is niet dol op online les.,Hij is niet dol.,,,Manual
31,3,advectivische_constituent,3. The Construction of the Adjective Phrase,De bouw van de adjectivische constituent,De reis is heel lang.,Heel is de reis lang.,,,Manual
32,3,advectivische_constituent,3. The Construction of the Adjective Phrase,De bouw van de adjectivische constituent,De bank is een beetje zacht.,Een beetje is de bank zacht.,,,Manual
33,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,De examens zijn makkelijk zat.,Een makkelijk zat examen.,,,Manual
34,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Binnekort krijgen we een nieuwe en heel handig systeem.,Binnekort krijgen we een nieuw en heel handige systeem.,,,Manual
35,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Zijn ego is voldoende groot.,Zijn ego is groot voldoende.,,,Manual
36,5,advectivische_constituent,2. Subordinate Clauses,Bijzinnen,(We zijn niet) geneigd (om) dit zomaar voorbij te laten gaan.,(We zijn niet) geneigd dat we dit zomaar voorbij zouden laten gaan.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans150403lingtopic,ANS
37,5,advectivische_constituent,2. Subordinate Clauses,Bijzinnen,(Jan is altijd) bereid (om) te helpen.,(Jan is altijd) bereid dat hij zou helpen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans150403lingtopic,ANS
38,5,advectivische_constituent,2. Subordinate Clauses,Bijzinnen,(We zijn niet) bereid (om) te luisteren.,(We zijn niet) bereid dat we zouden luisteren.,,,Manual
39,5,advectivische_constituent,2. Subordinate Clauses,Bijzinnen,(Ze zijn niet) geneigd (om) te vechten.,(Ze zijn niet) geneigd dat ze zouden vechten.,,,Manual
40,5,advectivische_constituent,2. Subordinate Clauses,Bijzinnen,(We zijn niet) in staat (om) te begrijpen.,(We zijn niet) in staat dat we zouden begrijpen.,,,Manual
41,5,advectivische_constituent,2. Subordinate Clauses,Bijzinnen,(Peter is altijd) van plan (om) te slagen.,(Peter is altijd) van plan dat hij zou slagen.,,,Manual
42,6,adpositie_constituent,1. Pronominal Adverbs,Voornaamwoordelijke bijwoorden,Je moet tenslotte ergens in geloven.,Ergens in moet je tenslotte geloven.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-15741673051642495,Manual/ANS
43,6,adpositie_constituent,1. Pronominal Adverbs,Voornaamwoordelijke bijwoorden,Nergens wordt echt diep op ingegaan.,Nergens op wordt echt diep ingegaan.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-15741673051642495,Manual/ANS
44,6,adpositie_constituent,1. Pronominal Adverbs,Voornaamwoordelijke bijwoorden,Hij heeft overal een mening over.,Overal over heeft hij een mening.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-15741673051642495,Manual/ANS
45,6,adpositie_constituent,1. Pronominal Adverbs,Vijf typen voornaamwoordelijke bijwoorden,Eigenlijk lijkt het voorwerp op niets dat ik eerder heb gezien.,Eigenlijk lijkt het voorwerp nergens op dat ik eerder heb gezien.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-16000874747697907,ANS
46,6,adpositie_constituent,1. Pronominal Adverbs,Vijf typen voornaamwoordelijke bijwoorden,Ik steun haar in alles wat ze doet.,Ik steun haar overal in wat ze doet.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-16000874747697907,ANS
47,6,adpositie_constituent,1. Pronominal Adverbs,Opeenvolgend of los van elkaar?,Verftekeningen lagen op stapels gekwakt ... Nergens stond een titel of datum op.,Verftekeningen lagen op stapels gekwakt. Nergens op stond een titel of datum.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-15741603637922556,ANS
48,5,advectivische_constituent,2. Subordinate Clauses,Bijzinnen,(Piet is niet) bereid (om) te stoppen met roken.,(Piet is niet) bereid dat hij zou stoppen met roken.,,,Manual
49,5,advectivische_constituent,2. Subordinate Clauses,Bijzinnen,(Hij is niet) gewend (om) aan de kant gezet te worden.,(Hij is niet) gewend dat hij aan de kant te worden gezet.,,,Manual
50,5,advectivische_constituent,2. Subordinate Clauses,Bijzinnen,(Hij is niet) van plan (om) te helpen.,(Hij is niet) van plan dat hij zou helpen.,,,Manual
51,6,adpositie_constituent,1. Pronominal Adverbs,Op de eerste zinsplaats,Door de tranen kon ik niet meer lezen. Overal kwam snot uit.,Overal uit kwam snot.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-15936793453283360,ANS
52,6,adpositie_constituent,1. Pronominal Adverbs,Op de eerste zinsplaats,Waar ga je naartoe?,Waarnaartoe ga je?,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-15936793453283360,ANS
53,7,werkwoordelijke_constituent,8. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Hij zei dat hij de kraanvogels graag wilde fotograferen.,Hij zei dat hij de kraanvogels wilde graag fotograferen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050102lingtopic,ANS
54,7,werkwoordelijke_constituent,8. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Ze was dat boek gaan lezen omdat ze gehoopt had er iets uit te leren.,Ze was dat boek gaan lezen omdat ze er iets uit had hopen te leren.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050102lingtopic,ANS
55,7,werkwoordelijke_constituent,8. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Ik had gehoopt dat Dick dat artikel intussen aan de redactie had geprobeerd door te sturen.,Ik had gehoopt dat Dick dat artikel intussen had geprobeerd aan de redactie door te sturen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050102lingtopic,ANS
56,7,werkwoordelijke_constituent,8. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Ik had gehoopt dat Dick dat artikel intussen aan de redactie had proberen door te sturen.,Ik had gehoopt dat Dick dat artikel intussen had proberen aan de redactie door te sturen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050102lingtopic,ANS
57,7,werkwoordelijke_constituent,8. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Ik zag hoe Bregje de bal door de opening probeerde te krijgen,Ik zag hoe Bregje de bal probeerde door de opening te krijgen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050102lingtopic,ANS
58,7,werkwoordelijke_constituent,8. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Ze zeggen dat hij toen pas merkte een fout gemaakt te hebben.,Ze zeggen dat hij toen pas een fout gemaakt merkte te hebben.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050102lingtopic,ANS
59,8,werkwoordelijke_constituent,9. Verbs With a Participle as a Complement,Hebben en zijn met een vervangende infinitief,De kinderen leren op school zwemmen.,De kinderen hebben op school geleerd zwemmen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020102lingtopic,ANS
60,8,werkwoordelijke_constituent,9. Verbs With a Participle as a Complement,Hebben en zijn met een vervangende infinitief,Hij zit te slapen.,Hij heeft gezeten te slapen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020102lingtopic,ANS
61,8,werkwoordelijke_constituent,9. Verbs With a Participle as a Complement,Hebben en zijn met een vervangende infinitief,Zijn broer gaat in Spanje wonen.,Zijn broer is in Spanje gegaan wonen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020102lingtopic,ANS
62,8,werkwoordelijke_constituent,9. Verbs With a Participle as a Complement,Hebben en zijn met een vervangende infinitief,Dat hoefde ze niet te doen.,Dat had ze niet gehoeven doen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020102lingtopic,ANS
63,8,werkwoordelijke_constituent,9. Verbs With a Participle as a Complement,Hebben en zijn met een vervangende infinitief,We zagen de koningin voorbijkomen.,We hebben de koningin gezien voorbijkomen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020102lingtopic,ANS
64,8,werkwoordelijke_constituent,9. Verbs With a Participle as a Complement,Hebben en zijn met een vervangende infinitief,Ze laten de bagage op het station staan.,Ze hebben de bagage op het station gelaten staan.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020102lingtopic,ANS
65,7,werkwoordelijke_constituent,8. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Hij wist dat hij zijn documenten moest organiseren.,Hij wist dat hij moest organiseren zijn documenten.,,,Manual
66,7,werkwoordelijke_constituent,8. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Ze hoorde dat ze haar afspraak moest verzetten.,Ze hoorde dat ze moest verzetten haar afspraak.,,,Manual
67,7,werkwoordelijke_constituent,8. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Hij realiseerde zich dat hij een fout had gemaakt.,Hij realiseerde zich dat hij had gemaakt een fout.,,,Manual
68,8,werkwoordelijke_constituent,9. Verbs With a Participle as a Complement,Hebben en zijn met een vervangende infinitief,Peter is vanmiddag voetballen.,Peter is vanmiddag geweest voetballen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020102lingtopic,ANS
69,8,werkwoordelijke_constituent,9. Verbs With a Participle as a Complement,Hebben en zijn met een vervangende infinitief,Zijn broer wil in Spanje gaan wonen.,Zijn broer heeft altijd al in Spanje gewild gaan wonen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020102lingtopic,ANS
70,8,werkwoordelijke_constituent,9. Verbs With a Participle as a Complement,"Blijken , dunken , heten , lijken , schijnen , voorkomen",Geen wonder dat de wandelaars uitgehongerd bleken (te zijn).,Geen wonder dat de wandelaars bleken uitgehongerd (te zijn).,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020301lingtopic,ANS
71,9,werkwoordelijke_constituent,10. Verbs With an Infinitive as a Complement,Weglaatbaarheid van te bij infinitieven,Die jongens zitten de hele les te slapen.,Die jongens zitten de hele les slapen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805040102lingtopic,ANS
72,9,werkwoordelijke_constituent,10. Verbs With an Infinitive as a Complement,Weglaatbaarheid van te bij infinitieven,"Als je nu nog heel even blijft staan wachten, dan ga ik zo met je mee.","Als je nu nog heel even blijft staan te wachten, dan ga ik zo met je mee.",uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805040102lingtopic,ANS
73,9,werkwoordelijke_constituent,10. Verbs With an Infinitive as a Complement,"Liggen , zitten , hangen (onovergankelijk), staan , lopen",Ton heeft de hele middag aan zijn bureau zitten (te) werken.,Ton heeft de hele middag gezeten aan zijn bureau (te) werken.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050402lingtopic,ANS
74,9,werkwoordelijke_constituent,10. Verbs With an Infinitive as a Complement,"Liggen , zitten , hangen (onovergankelijk), staan , lopen",De appels hebben al een maand aan de boom hangen te rotten.,De appels hebben al een maand aan de boom te rotten gehangen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050402lingtopic,ANS
75,9,werkwoordelijke_constituent,10. Verbs With an Infinitive as a Complement,Weglaatbaarheid van te bij infinitieven,Wim zit te slapen.,Wim zit slapen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805040102lingtopic,ANS
76,9,werkwoordelijke_constituent,10. Verbs With an Infinitive as a Complement,Mogen,We geven u alvast enkel tips voor als u naar Corsica met vakantie mocht gaan.,We geven u alvast enkele tips voor mocht u naar Corsica met vakantie gaan.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans180504040204lingtopic,ANS
77,10,werkwoordelijke_constituent,7. The Order Within the Verb Ending Group,Eindgroepen met twee werkwoorden,Ze zag dat er een polítieauto kwam aangereden.,Ze zag dat er een polítieauto aangereden kwam.,,,ANS/Manual
78,10,werkwoordelijke_constituent,7. The Order Within the Verb Ending Group,Eindgroepen met twee werkwoorden,Ik hoop dat we voor zo'n ramp gespaard blijven.,Ik hoop dat we voor zo'n ramp blijven gespaard.,,,ANS/Manual
79,10,werkwoordelijke_constituent,7. The Order Within the Verb Ending Group,Een infinitief zonder te,Hij zei dat hij het vliegtuig niet kon zien naderen.,Hij zei dat hij het vliegtuig niet naderen kon zien.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805070401lingtopic,ANS
80,10,werkwoordelijke_constituent,7. The Order Within the Verb Ending Group,Een infinitief zonder te,Ik denk dat ze nog wel zullen komen eten.,Ik denk dat ze nog wel eten zullen komen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805070401lingtopic,ANS
81,10,werkwoordelijke_constituent,7. The Order Within the Verb Ending Group,Een infinitief met te,Ik vraag me af wanneer híj nu eindelijk eens de was te drogen hangt.,Ik vraag me af wanneer híj nu eindelijk eens de was hangt te drogen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805070402lingtopic,ANS
82,10,werkwoordelijke_constituent,7. The Order Within the Verb Ending Group,Een infinitief met te,Hij zei dat hij met haar niets meer te maken wilde hebben.,Hij zei dat hij met haar niets meer wilde hebben te maken.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805070402lingtopic,ANS
83,9,werkwoordelijke_constituent,10. Verbs With an Infinitive as a Complement,Moeten en hoeven in zinnen met een 'negatief element',Moet ik naar hem luisteren?,Hoef ik naar hem te luisteren?,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans180504040303lingtopic,ANS
84,9,werkwoordelijke_constituent,10. Verbs With an Infinitive as a Complement,"Helpen , leren",Die sportleraar heeft me leren roeien.,Die sportleraar heeft me geleerd te roeien.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050413lingtopic,ANS
85,9,werkwoordelijke_constituent,10. Verbs With an Infinitive as a Complement,Hebben/krijgen met een infinitief zonder te,Ik zag dat hij zijn been op de stoel had liggen.,Ik zag dat hij had zijn been op de stoel liggen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805041401lingtopic,ANS
86,10,werkwoordelijke_constituent,7. The Order Within the Verb Ending Group,Aan het + infinitief; voorzetsel + infinitief,Denk jij dat ze al aan het eten zijn?,Denk jij dat ze al zijn aan het eten?,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805070403lingtopic,ANS
87,10,werkwoordelijke_constituent,7. The Order Within the Verb Ending Group,Aan het + infinitief; voorzetsel + infinitief,Maarten zei dat hij 's middags vaak uit wandelen ging.,Maarten zei dat hij 's middags vaak ging uit wandelen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805070403lingtopic,ANS
88,10,werkwoordelijke_constituent,7. The Order Within the Verb Ending Group,Aan het + infinitief; voorzetsel + infinitief,Ik denk dat die schuur nu wel op instorten moet staan.,Ik denk dat die schuur nu wel moet staan op instorten.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805070403lingtopic,ANS
