,source,zin,phenomenon,grammatical,id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,id_9,id_10,id_11,id_12,id_13,avg,max,min
24,NSD_phenomena1&2_version2CLIN,Er schijnt een maan.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",0,7,2,7,4,7,5,4,6.0,,,,,,5.25,7,2
25,NSD_phenomena1&2_version2CLIN,Er schijnt een zon.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",0,7,1,7,3,7,4,5,6.0,,,,,,5.0,7,1
26,NSD_phenomena1&2_version2CLIN,Een aarde is bol.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",0,4,2,1,1,6,4,2,3.0,,,,,,2.875,6,1
27,NSD_phenomena1&2_version2CLIN,Mosselen eten (is in de mode.),6. Nominalizations,1,5,7,7,7,7,4,3,6.0,,,,,,5.75,7,3
28,NSD_phenomena1&2_version2CLIN,Cognac aanbieden aan tante Fien (vindt pa doodzonde.),6. Nominalizations,1,2,7,7,7,7,4,5,6.0,,,,,,5.625,7,2
29,NSD_phenomena1&2_version2CLIN,Een nieuwe broek kopen voor Eric (is altijd leuk.),6. Nominalizations,1,4,7,5,7,7,4,4,7.0,,,,,,5.625,7,4
30,NSD_phenomena1&2_version2CLIN,Het pannenkoeken bakken (is voor Anneke niet moeilijk.),6. Nominalizations,1,1,7,7,2,5,6,1,5.0,,,,,,4.25,7,1
31,NSD_phenomena1&2_version2CLIN,Het bakken van pannenkoeken (is voor Anneke niet moeilijk.),6. Nominalizations,1,5,7,7,7,7,6,4,7.0,,,,,,6.25,7,4
32,NSD_phenomena1&2_version2CLIN,Het voor grootmoeder thee inschenken (is een hele opgave.),6. Nominalizations,1,3,5,4,2,5,2,1,3.0,,,,,,3.125,5,1
33,NSD_phenomena1&2_version2CLIN,De misdadiger terechtstelling (was afschrikwekkend.),6. Nominalizations,0,2,5,1,1,1,2,2,2.0,,,,,,2.0,5,1
34,NSD_phenomena1&2_version2CLIN,De jarige schenking van kadobonnen (was een goed idee.),6. Nominalizations,0,1,2,1,1,1,2,3,3.0,,,,,,1.75,3,1
35,NSD_phenomena1&2_version2CLIN,De in een supermarkt verstrekking van kortingsbonnen (werd gewaardeerd.),6. Nominalizations,0,2,5,1,7,1,5,2,4.0,,,,,,3.375,7,1
36,NSD_phenomena1&2_version3CLIN,De maan schijnt.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,7,7,1,3,7,7,7,7.0,7.0,7.0,,,,6.0,7,1
37,NSD_phenomena1&2_version3CLIN,De zon schijnt.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,7,6,7,7,7,7,7,7.0,7.0,7.0,,,,6.9,7,6
38,NSD_phenomena1&2_version3CLIN,De aarde is bol.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,2,6,5,2,6,1,7,7.0,5.0,7.0,,,,4.8,7,1
39,NSD_phenomena1&2_version3CLIN,De Toren van Pisa helt over.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,5,6,6,4,7,4,7,4.0,5.0,7.0,,,,5.5,7,4
40,NSD_phenomena1&2_version3CLIN,De Taj Mahal staat in India.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,7,7,7,5,7,5,7,7.0,7.0,7.0,,,,6.6,7,5
41,NSD_phenomena1&2_version3CLIN,Het continent van Europa is klein.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",1,2,2,4,2,1,4,1,2.0,5.0,7.0,,,,3.0,7,1
42,NSD_phenomena1&2_version3CLIN,Een sahara is erg heet.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",0,2,4,4,1,1,1,1,7.0,4.0,1.0,,,,2.6,7,1
43,NSD_phenomena1&2_version3CLIN,Er staat een Eiffeltoren in Parijs.,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",0,2,3,3,1,2,4,2,3.0,5.0,3.0,,,,2.8,5,1
44,NSD_phenomena1&2_version3CLIN,Er hangt een Mona Lisa in het Louvre,"5. Definite, Indefinite, Categorical and Generic Noun Phrases",0,2,4,3,5,2,1,1,1.0,4.0,2.0,,,,2.5,5,1
45,NSD_phenomena1&2_version3CLIN,De terechtstelling van de misdadiger (was afschrikwekkend.),6. Nominalizations,1,7,3,5,2,6,1,7,7.0,7.0,7.0,,,,5.2,7,1
46,NSD_phenomena1&2_version3CLIN,De schenking van kadobonnen aan de jarige (was een goed idee.),6. Nominalizations,1,4,3,5,1,6,1,5,5.0,7.0,7.0,,,,4.4,7,1
47,NSD_phenomena1&2_version3CLIN,De verstrekking van kortingsbonnen in een supermarkt (werd gewaardeerd.),6. Nominalizations,1,4,4,4,1,7,1,6,6.0,7.0,7.0,,,,4.7,7,1
48,NSD_phenomena1&2_version3CLIN,Mosselen eten (is in de mode.),6. Nominalizations,1,5,2,3,3,7,1,7,2.0,7.0,7.0,,,,4.4,7,1
49,NSD_phenomena1&2_version3CLIN,Cognac aanbieden aan tante Fien (vindt pa doodzonde.),6. Nominalizations,1,5,4,5,2,7,1,4,6.0,6.0,7.0,,,,4.7,7,1
50,NSD_phenomena1&2_version3CLIN,Een nieuwe broek kopen voor Eric (is altijd leuk.),6. Nominalizations,1,6,4,5,1,7,1,7,6.0,7.0,7.0,,,,5.1,7,1
51,NSD_phenomena1&2_version3CLIN,Het een pannenkoek bakken (is voor Anneke niet moeilijk.),6. Nominalizations,0,1,1,3,1,1,1,1,1.0,1.0,1.0,,,,1.2,3,1
52,NSD_phenomena1&2_version3CLIN,Het van pannenkoeken bakken (is voor Anneke niet moeilijk.),6. Nominalizations,0,1,1,2,1,1,1,1,1.0,3.0,1.0,,,,1.3,3,1
53,NSD_phenomena1&2_version3CLIN,Het grootmoeder inschenken van thee (is een hele opgave.),6. Nominalizations,0,1,1,1,1,6,1,1,1.0,1.0,1.0,,,,1.5,6,1
54,NSD_phenomena3&4_version1CLIN,Een zeer hard gesteente.,3. The Construction of the Adjective Phrase,1,7,5,7,7,7,4,6,7.0,7.0,7.0,4.0,,,6.181818182,7,4
55,NSD_phenomena3&4_version1CLIN,Laura is heel getalenteerd.,3. The Construction of the Adjective Phrase,1,7,7,6,7,7,7,7,7.0,7.0,7.0,6.0,,,6.818181818,7,6
56,NSD_phenomena3&4_version1CLIN,Hij is niet bepaald tuk op vergaderen.,3. The Construction of the Adjective Phrase,1,7,3,7,4,4,5,6,6.0,7.0,7.0,3.0,,,5.363636364,7,3
57,NSD_phenomena3&4_version1CLIN,De boom is erg hoog.,3. The Construction of the Adjective Phrase,1,7,7,7,7,5,7,4,6.0,6.0,7.0,6.0,,,6.272727273,7,4
58,NSD_phenomena3&4_version1CLIN,Wim is nogal eigenwijs.,3. The Construction of the Adjective Phrase,1,7,7,7,6,7,7,7,6.0,7.0,7.0,7.0,,,6.818181818,7,6
59,NSD_phenomena3&4_version1CLIN,Nienke is zeer aantrekkelijk.,3. The Construction of the Adjective Phrase,1,7,7,6,7,7,7,7,2.0,7.0,7.0,7.0,,,6.454545455,7,2
60,NSD_phenomena3&4_version1CLIN,Hij is niet dol.,3. The Construction of the Adjective Phrase,0,1,5,1,1,2,4,1,1.0,2.0,4.0,3.0,,,2.272727273,5,1
61,NSD_phenomena3&4_version1CLIN,Heel is de reis lang.,3. The Construction of the Adjective Phrase,0,1,2,1,1,2,4,1,1.0,1.0,1.0,1.0,,,1.454545455,4,1
62,NSD_phenomena3&4_version1CLIN,Een beetje is de bank zacht.,3. The Construction of the Adjective Phrase,0,1,4,1,1,2,1,1,1.0,1.0,1.0,2.0,,,1.454545455,4,1
63,NSD_phenomena3&4_version1CLIN,De koffie is warm genoeg.,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,7,7,7,6,7,7,5,7.0,6.0,7.0,6.0,,,6.545454545,7,5
64,NSD_phenomena3&4_version1CLIN,Dat klusje is makkelijk zat.,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,7,7,5,4,4,7,6,6.0,3.0,7.0,5.0,,,5.545454545,7,3
65,NSD_phenomena3&4_version1CLIN,Ik vind het een heel handig apparaat,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,7,7,7,6,7,7,7,7.0,7.0,7.0,7.0,,,6.909090909,7,6
66,NSD_phenomena3&4_version1CLIN,Die flats zijn geweldig hoog.,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,7,5,6,4,3,4,4,1.0,2.0,7.0,5.0,,,4.363636364,7,1
67,NSD_phenomena3&4_version1CLIN,Mijn vrienden zijn geweldig mooi.,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,7,7,4,5,2,4,2,1.0,2.0,7.0,5.0,,,4.181818182,7,1
68,NSD_phenomena3&4_version1CLIN,De studenten zijn geweldig slim.,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,7,6,3,5,7,7,6,1.0,5.0,7.0,5.0,,,5.363636364,7,1
69,NSD_phenomena3&4_version1CLIN,Een makkelijk zat examen.,4. Degree-Indicating or Reinforcing (Pre)Determinations,0,7,3,6,1,2,4,2,2.0,2.0,7.0,1.0,,,3.363636364,7,1
70,NSD_phenomena3&4_version1CLIN,Binnekort krijgen we een nieuw en heel handige systeem.,4. Degree-Indicating or Reinforcing (Pre)Determinations,0,1,4,6,3,2,2,3,1.0,1.0,1.0,5.0,,,2.636363636,6,1
71,NSD_phenomena3&4_version1CLIN,Zijn ego is groot voldoende.,4. Degree-Indicating or Reinforcing (Pre)Determinations,0,1,4,1,2,2,1,2,1.0,1.0,1.0,1.0,,,1.545454545,4,1
72,NSD_phenomena3&4_version2CLIN,Een zeer hard gesteente.,3. The Construction of the Adjective Phrase,1,6,5,7,2,5,7,7,7.0,,,,,,5.75,7,2
73,NSD_phenomena3&4_version2CLIN,Laura is heel getalenteerd.,3. The Construction of the Adjective Phrase,1,7,7,7,6,7,7,7,7.0,,,,,,6.875,7,6
74,NSD_phenomena3&4_version2CLIN,Hij is niet bepaald tuk op vergaderen.,3. The Construction of the Adjective Phrase,1,5,3,6,5,1,6,4,6.0,,,,,,4.5,6,1
75,NSD_phenomena3&4_version2CLIN,Hij is niet dol op online les.,3. The Construction of the Adjective Phrase,1,6,6,7,5,5,5,7,6.0,,,,,,5.875,7,5
76,NSD_phenomena3&4_version2CLIN,De reis is heel lang.,3. The Construction of the Adjective Phrase,1,5,7,7,7,7,6,7,7.0,,,,,,6.625,7,5
77,NSD_phenomena3&4_version2CLIN,De bank is een beetje zacht.,3. The Construction of the Adjective Phrase,1,7,7,7,7,7,7,7,7.0,,,,,,7.0,7,7
78,NSD_phenomena3&4_version2CLIN,Erg is de boom hoog.,3. The Construction of the Adjective Phrase,0,1,2,1,1,1,2,1,3.0,,,,,,1.5,3,1
79,NSD_phenomena3&4_version2CLIN,Wim is nogal.,3. The Construction of the Adjective Phrase,0,1,2,2,6,1,2,1,4.0,,,,,,2.375,6,1
80,NSD_phenomena3&4_version2CLIN,Nienke is zeer.,3. The Construction of the Adjective Phrase,0,1,2,2,6,1,2,1,4.0,,,,,,2.375,6,1
81,NSD_phenomena3&4_version2CLIN,De koffie is warm genoeg.,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,7,7,7,7,7,7,7,5.0,,,,,,6.75,7,5
82,NSD_phenomena3&4_version2CLIN,Dat klusje is makkelijk zat.,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,6,3,5,2,7,5,7,7.0,,,,,,5.25,7,2
83,NSD_phenomena3&4_version2CLIN,Ik vind het een heel handig apparaat,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,7,7,7,7,7,7,7,7.0,,,,,,7.0,7,7
84,NSD_phenomena3&4_version2CLIN,De examens zijn makkelijk zat.,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,7,6,2,2,7,2,7,7.0,,,,,,5.0,7,2
85,NSD_phenomena3&4_version2CLIN,Binnekort krijgen we een nieuwe en heel handig systeem.,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,1,5,2,1,2,2,1,4.0,,,,,,2.25,5,1
86,NSD_phenomena3&4_version2CLIN,Zijn ego is voldoende groot.,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,3,3,2,1,5,2,2,4.0,,,,,,2.75,5,1
87,NSD_phenomena3&4_version2CLIN,Die flats zijn geweldige hoog.,4. Degree-Indicating or Reinforcing (Pre)Determinations,0,1,2,2,1,2,2,1,2.0,,,,,,1.625,2,1
88,NSD_phenomena3&4_version2CLIN,Mijn vrienden zijn geweldige mooi.,4. Degree-Indicating or Reinforcing (Pre)Determinations,0,1,1,2,7,1,2,1,5.0,,,,,,2.5,7,1
89,NSD_phenomena3&4_version2CLIN,De studenten zijn geweldige slim.,4. Degree-Indicating or Reinforcing (Pre)Determinations,0,1,2,2,1,2,5,2,3.0,,,,,,2.25,5,1
90,NSD_phenomena3&4_version3CLIN,De boom is erg hoog.,3. The Construction of the Adjective Phrase,1,6,7,2,5,2,7,7,7.0,2.0,7.0,,,,5.2,7,2
91,NSD_phenomena3&4_version3CLIN,Wim is nogal eigenwijs.,3. The Construction of the Adjective Phrase,1,7,7,1,6,7,7,7,7.0,6.0,7.0,,,,6.2,7,1
92,NSD_phenomena3&4_version3CLIN,Nienke is zeer aantrekkelijk.,3. The Construction of the Adjective Phrase,1,7,7,2,6,7,7,7,7.0,7.0,7.0,,,,6.4,7,2
93,NSD_phenomena3&4_version3CLIN,Hij is niet dol op online les.,3. The Construction of the Adjective Phrase,1,6,7,4,3,2,7,7,7.0,2.0,7.0,,,,5.2,7,2
94,NSD_phenomena3&4_version3CLIN,De reis is heel lang.,3. The Construction of the Adjective Phrase,1,7,7,2,6,7,1,7,7.0,7.0,7.0,,,,5.8,7,1
95,NSD_phenomena3&4_version3CLIN,De bank is een beetje zacht.,3. The Construction of the Adjective Phrase,1,5,7,2,4,5,7,7,7.0,3.0,7.0,,,,5.4,7,2
96,NSD_phenomena3&4_version3CLIN,Een zeer gesteente.,3. The Construction of the Adjective Phrase,0,2,3,7,1,1,3,2,1.0,2.0,1.0,,,,2.3,7,1
97,NSD_phenomena3&4_version3CLIN,Laura is heel.,3. The Construction of the Adjective Phrase,0,1,3,7,1,1,1,2,1.0,2.0,1.0,,,,2.0,7,1
98,NSD_phenomena3&4_version3CLIN,Hij is niet bepaald op vergaderen.,3. The Construction of the Adjective Phrase,0,3,2,7,1,1,3,2,1.0,2.0,2.0,,,,2.4,7,1
99,NSD_phenomena3&4_version3CLIN,De examens zijn makkelijk zat.,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,2,7,5,4,2,4,7,4.0,6.0,7.0,,,,4.8,7,2
100,NSD_phenomena3&4_version3CLIN,Binnekort krijgen we een nieuwe en heel handig systeem.,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,2,2,7,1,1,1,2,1.0,5.0,1.0,,,,2.3,7,1
101,NSD_phenomena3&4_version3CLIN,Zijn ego is voldoende groot.,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,4,6,7,1,1,1,5,5.0,2.0,7.0,,,,3.9,7,1
102,NSD_phenomena3&4_version3CLIN,Die flats zijn geweldig hoog.,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,4,6,6,3,6,3,7,7.0,2.0,7.0,,,,5.1,7,2
103,NSD_phenomena3&4_version3CLIN,Mijn vrienden zijn geweldig mooi.,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,6,6,3,2,4,3,7,5.0,2.0,7.0,,,,4.5,7,2
104,NSD_phenomena3&4_version3CLIN,De studenten zijn geweldig slim.,4. Degree-Indicating or Reinforcing (Pre)Determinations,1,6,6,3,3,3,4,7,7.0,2.0,7.0,,,,4.8,7,2
105,NSD_phenomena3&4_version3CLIN,Warm genoege koffie.,4. Degree-Indicating or Reinforcing (Pre)Determinations,0,4,6,7,1,1,1,2,1.0,2.0,3.0,,,,2.8,7,1
106,NSD_phenomena3&4_version3CLIN,Een makkelijk zat klusje.,4. Degree-Indicating or Reinforcing (Pre)Determinations,0,4,5,7,4,2,1,2,4.0,2.0,7.0,,,,3.8,7,1
107,NSD_phenomena3&4_version3CLIN,Ik vind het een hele handig apparaat.,4. Degree-Indicating or Reinforcing (Pre)Determinations,0,2,2,7,1,2,1,2,1.0,2.0,7.0,,,,2.7,7,1
108,NSD_phenomena5&6_version1CLIN,(We zijn niet) geneigd (om) dit zomaar voorbij te laten gaan.,2. Subordinate Clauses,1,5,1,5,4,1,5,7,3.0,,,,,,3.875,7,1
109,NSD_phenomena5&6_version1CLIN,(Jan is altijd) bereid (om) te helpen.,2. Subordinate Clauses,1,6,4,6,5,7,7,7,7.0,,,,,,6.125,7,4
110,NSD_phenomena5&6_version1CLIN,(We zijn niet) bereid (om) te luisteren.,2. Subordinate Clauses,1,7,7,6,5,7,6,7,1.0,,,,,,5.75,7,1
111,NSD_phenomena5&6_version1CLIN,(Ze zijn niet) geneigd (om) te vechten.,2. Subordinate Clauses,1,5,3,5,3,1,6,5,5.0,,,,,,4.125,6,1
112,NSD_phenomena5&6_version1CLIN,(We zijn niet) in staat (om) te begrijpen.,2. Subordinate Clauses,1,5,1,2,1,2,4,2,6.0,,,,,,2.875,6,1
113,NSD_phenomena5&6_version1CLIN,(Peter is altijd) van plan (om) te slagen.,2. Subordinate Clauses,1,5,7,6,2,1,5,5,2.0,,,,,,4.125,7,1
114,NSD_phenomena5&6_version1CLIN,(Piet is niet) bereid dat hij zou stoppen met roken.,2. Subordinate Clauses,0,4,1,3,2,1,1,1,1.0,,,,,,1.75,4,1
115,NSD_phenomena5&6_version1CLIN,(Hij is niet) gewend dat hij aan de kant te worden gezet.,2. Subordinate Clauses,0,5,1,1,1,1,1,1,1.0,,,,,,1.5,5,1
116,NSD_phenomena5&6_version1CLIN,(Hij is niet) van plan dat hij zou helpen.,2. Subordinate Clauses,0,2,1,2,3,1,1,1,1.0,,,,,,1.5,3,1
117,NSD_phenomena5&6_version1CLIN,Je moet tenslotte ergens in geloven.,1. Pronominal Adverbs,1,7,7,7,6,7,7,7,7.0,,,,,,6.875,7,6
118,NSD_phenomena5&6_version1CLIN,Nergens wordt echt diep op ingegaan.,1. Pronominal Adverbs,1,6,7,7,5,2,7,7,7.0,,,,,,6.0,7,2
119,NSD_phenomena5&6_version1CLIN,Hij heeft overal een mening over.,1. Pronominal Adverbs,1,7,7,7,6,7,7,6,7.0,,,,,,6.75,7,6
120,NSD_phenomena5&6_version1CLIN,Eigenlijk lijkt het voorwerp op niets dat ik eerder heb gezien.,1. Pronominal Adverbs,1,6,7,5,4,1,5,4,1.0,,,,,,4.125,7,1
121,NSD_phenomena5&6_version1CLIN,Ik steun haar in alles wat ze doet.,1. Pronominal Adverbs,1,7,7,7,6,6,7,7,5.0,,,,,,6.5,7,5
122,NSD_phenomena5&6_version1CLIN,Verftekeningen lagen op stapels gekwakt ... Nergens stond een titel of datum op.,1. Pronominal Adverbs,1,4,7,4,5,1,6,7,7.0,,,,,,5.125,7,1
123,NSD_phenomena5&6_version1CLIN,Daar hebben enkele honderden werknemers actie naast gevoerd met werkonderbrekingen.,1. Pronominal Adverbs,0,5,3,3,3,1,1,6,2.0,,,,,,3.0,6,1
124,NSD_phenomena5&6_version1CLIN,Overal uit kwam snot.,1. Pronominal Adverbs,0,5,1,1,1,1,1,1,1.0,,,,,,1.5,5,1
125,NSD_phenomena5&6_version1CLIN,Waarnaartoe ga je?,1. Pronominal Adverbs,0,4,1,2,3,1,1,7,1.0,,,,,,2.5,7,1
126,NSD_phenomena5&6_version2CLIN,(We zijn niet) geneigd (om) dit zomaar voorbij te laten gaan.,2. Subordinate Clauses,1,3,5,7,6,7,7,7,6.0,7.0,7.0,,,,6.2,7,3
127,NSD_phenomena5&6_version2CLIN,(Jan is altijd) bereid (om) te helpen.,2. Subordinate Clauses,1,7,7,7,7,7,7,7,7.0,7.0,7.0,,,,7.0,7,7
128,NSD_phenomena5&6_version2CLIN,(We zijn niet) bereid (om) te luisteren.,2. Subordinate Clauses,1,7,5,7,7,6,7,7,6.0,7.0,7.0,,,,6.6,7,5
129,NSD_phenomena5&6_version2CLIN,(Piet is niet) bereid (om) te stoppen met roken.,2. Subordinate Clauses,1,7,5,7,7,7,7,7,7.0,7.0,6.0,,,,6.7,7,5
130,NSD_phenomena5&6_version2CLIN,(Hij is niet) gewend (om) aan de kant gezet te worden.,2. Subordinate Clauses,1,7,7,7,6,6,7,7,6.0,7.0,6.0,,,,6.6,7,6
131,NSD_phenomena5&6_version2CLIN,(Hij is niet) van plan (om) te helpen.,2. Subordinate Clauses,1,7,7,7,7,6,7,7,6.0,7.0,7.0,,,,6.8,7,6
132,NSD_phenomena5&6_version2CLIN,(Ze zijn niet) geneigd dat ze zouden vechten.,2. Subordinate Clauses,0,1,1,1,3,2,3,1,2.0,2.0,2.0,,,,1.8,3,1
133,NSD_phenomena5&6_version2CLIN,(We zijn niet) in staat dat we zouden begrijpen.,2. Subordinate Clauses,0,1,1,1,2,2,2,1,1.0,1.0,2.0,,,,1.4,2,1
134,NSD_phenomena5&6_version2CLIN,(Peter is altijd) van plan dat hij zou slagen.,2. Subordinate Clauses,0,1,1,1,1,2,1,1,2.0,1.0,2.0,,,,1.3,2,1
135,NSD_phenomena5&6_version2CLIN,Je moet tenslotte ergens in geloven.,1. Pronominal Adverbs,1,7,7,7,6,5,7,7,6.0,7.0,7.0,,,,6.6,7,5
136,NSD_phenomena5&6_version2CLIN,Nergens wordt echt diep op ingegaan.,1. Pronominal Adverbs,1,6,5,7,5,2,5,4,6.0,2.0,7.0,,,,4.9,7,2
137,NSD_phenomena5&6_version2CLIN,Hij heeft overal een mening over.,1. Pronominal Adverbs,1,7,7,7,7,7,7,7,7.0,7.0,7.0,,,,7.0,7,7
138,NSD_phenomena5&6_version2CLIN,Daarnaast hebben enkele honderden werknemers actie gevoerd met werkonderbrekingen.,6,1,5,4,5,6,3,7,1,5.0,5.0,3.0,,,,4.4,7,1
139,NSD_phenomena5&6_version2CLIN,Door de tranen kon ik niet meer lezen. Overal kwam snot uit.,1. Pronominal Adverbs,1,1,1,7,2,3,2,7,4.0,6.0,7.0,,,,4.0,7,1
140,NSD_phenomena5&6_version2CLIN,Waar ga je naartoe?,1. Pronominal Adverbs,1,7,7,7,7,7,2,7,7.0,1.0,7.0,,,,5.9,7,1
141,NSD_phenomena5&6_version2CLIN,Eigenlijk lijkt het voorwerp nergens op dat ik eerder heb gezien.,1. Pronominal Adverbs,0,1,1,2,3,2,2,1,6.0,2.0,2.0,,,,2.2,6,1
142,NSD_phenomena5&6_version2CLIN,Ik steun haar overal in wat ze doet.,1. Pronominal Adverbs,0,4,2,2,5,3,4,3,6.0,3.0,2.0,,,,3.4,6,2
143,NSD_phenomena5&6_version2CLIN,Verftekeningen lagen op stapels gekwakt. Nergens op stond een titel of datum.,1. Pronominal Adverbs,0,1,1,2,4,2,2,1,2.0,1.0,2.0,,,,1.8,4,1
144,NSD_phenomena5&6_version3CLIN,(Ze zijn niet) geneigd (om) te vechten.,2. Subordinate Clauses,1,7,6,2,7,6,4,2,6.0,7.0,7.0,7.0,7.0,4.0,5.538461538,7,2
